Distance_(microns),Gray_Value
0.000,8134.875
0.830,8143.109
1.661,8144.308
2.491,8757.623
3.321,9136.700
4.151,9402.519
4.982,9678.093
5.812,10050.826
6.642,9727.045
7.472,10582.494
8.303,11103.130
9.133,11112.737
9.963,11805.393
10.793,12007.283
11.624,12205.607
12.454,12599.353
13.284,13140.571
14.115,13649.283
14.945,13349.903
15.775,13269.676
16.605,13510.187
17.436,13972.895
18.266,14639.008
19.096,14270.866
19.926,14575.089
20.757,14487.692
21.587,14878.806
22.417,15443.519
23.247,14852.453
24.078,15735.972
24.908,15750.223
25.738,15373.802
26.569,15034.895
27.399,15336.268
28.229,15560.510
29.059,15284.243
29.890,14899.077
30.720,14986.579
31.550,14982.032
32.380,14812.449
33.211,14964.279
34.041,14702.146
34.871,15181.409
35.701,14576.271
36.532,15284.700
37.362,16671.275
38.192,17102.193
39.023,17076.818
39.853,17238.215
40.683,17782.891
41.513,17547.117
42.344,17423.094
43.174,17844.604
44.004,16692.373
44.834,16962.252
45.665,17863.041
46.495,17477.842
47.325,16779.133
48.155,16677.531
48.986,16732.871
49.816,16397.980
50.646,16561.186
51.477,16865.482
52.307,16646.725
53.137,17071.438
53.967,16943.830
54.798,15541.781
55.628,16714.291
56.458,16963.717
57.288,16792.049
58.119,16561.645
58.949,16673.588
59.779,16836.146
60.609,16795.381
61.440,16460.977
62.270,16350.194
63.100,16498.801
63.930,16940.098
64.761,16757.988
65.591,17020.578
66.421,16979.531
67.252,16709.309
68.082,16752.352
68.912,17034.736
69.742,16770.230
70.573,16185.983
71.403,15624.453
72.233,16728.207
73.063,16385.744
73.894,16119.696
74.724,16352.032
75.554,15704.595
76.384,17187.094
77.215,16957.291
78.045,17803.494
78.875,18227.793
79.706,18095.020
80.536,17783.740
81.366,18089.182
82.196,18592.770
83.027,18710.902
83.857,19023.260
84.687,19292.959
85.517,19646.811
86.348,19099.053
87.178,19587.154
88.008,19388.846
88.838,19862.672
89.669,19919.408
90.499,19370.592
91.329,18817.283
92.160,18481.951
92.990,17941.174
93.820,17234.238
94.650,16414.332
95.481,16614.521
96.311,15557.400
97.141,15118.183
97.971,14447.008
98.802,13352.146
99.632,12370.579
100.462,12106.190
101.292,12053.017
102.123,11926.353
102.953,11657.324
103.783,11500.830
104.614,10863.223
105.444,10648.862
106.274,10070.421
107.104,9908.619
107.935,10284.883
108.765,10012.964
109.595,9793.713
110.425,9624.773
111.256,9153.647
112.086,9141.794
112.916,8787.040
113.746,9026.040
114.577,8853.113
115.407,8901.915
116.237,8307.992
117.068,8138.061
117.898,8316.741
118.728,8351.053
119.558,7975.146
120.389,8010.122
121.219,7904.454
122.049,7919.255
122.879,8694.826
123.710,8133.692
124.540,8417.834
125.370,8097.057
126.200,7961.117
127.031,8176.210
127.861,7920.332
128.691,7867.300
129.522,8150.210
130.352,7477.065
131.182,8608.296
132.012,8018.712
132.843,7902.506
133.673,7388.227
134.503,7907.373
135.333,7513.992
136.164,7588.696
136.994,7926.802
137.824,7266.024
138.654,7175.652
139.485,7155.546
140.315,7102.397
141.145,7690.065
141.976,7634.806
142.806,7090.883
143.636,7644.684
144.466,8428.802
145.297,9180.559
146.127,9477.887
146.957,10177.522
147.787,10607.198
148.618,11407.381
149.448,11458.057
150.278,12046.259
151.108,12025.826
151.939,12181.478
152.769,12220.328
153.599,13062.676
154.430,13337.604
155.260,13506.064
156.090,13224.798
156.920,13660.932
157.751,13923.441
158.581,13625.737
159.411,13764.255
160.241,14070.485
161.072,14008.806
161.902,14263.481
162.732,14760.766
163.562,14695.988
164.393,14481.478
165.223,15644.291
166.053,14866.134
166.883,15300.081
167.714,15519.126
168.544,14982.190
169.374,15339.858
170.205,15676.356
171.035,15290.883
171.865,16319.268
172.695,16041.183
173.526,16234.721
174.356,15029.040
175.186,16992.105
176.016,16833.430
176.847,16102.822
177.677,16113.332
178.507,16945.430
179.337,16754.943
180.168,16510.514
180.998,16886.109
181.828,16407.045
182.659,16913.283
183.489,16448.729
184.319,15734.032
185.149,16843.898
185.980,16701.268
186.810,16484.648
187.640,16308.915
188.470,15906.595
189.301,16883.057
190.131,16263.093
190.961,16425.068
191.791,16294.251
192.622,15165.393
193.452,15502.166
194.282,16144.915
195.113,15193.194
195.943,15065.911
196.773,15339.943
197.603,14783.162
198.434,14970.215
199.264,14359.866
200.094,14442.142
200.924,13873.651
201.755,14451.053
202.585,14392.417
203.415,14227.943
204.245,13769.562
205.076,14062.883
205.906,15064.704
206.736,14535.651
207.567,15299.255
208.397,16043.045
209.227,15839.162
210.057,16201.174
210.888,15621.530
211.718,15678.838
212.548,15424.434
213.378,15177.085
214.209,16197.732
215.039,16502.645
215.869,15763.947
216.699,15360.976
217.530,16712.340
218.360,16279.296
219.190,15817.481
220.021,16063.611
220.851,15724.842
221.681,15044.271
222.511,15785.911
223.342,15901.636
224.172,16346.968
225.002,15593.457
225.832,15538.773
226.663,15654.798
227.493,15083.396
228.323,14944.049
229.153,15323.566
229.984,14681.187
230.814,15032.729
231.644,15217.737
232.475,14849.227
233.305,14964.798
234.135,15325.227
234.965,14967.223
235.796,15479.725
236.626,15369.093
237.456,15310.571
238.286,15491.353
239.117,15622.149
239.947,14509.721
240.777,15258.081
241.607,15129.494
242.438,14247.530
243.268,14601.211
244.098,15829.515
244.929,14428.109
245.759,14639.777
246.589,14660.271
247.419,14900.243
248.250,14786.595
249.080,13901.741
249.910,14903.130
250.740,14351.478
251.571,13983.696
252.401,14155.798
253.231,13555.271
254.061,13397.364
254.892,13943.097
255.722,14064.846
256.552,13897.315
257.383,13771.121
258.213,14068.028
259.043,13924.485
259.873,14517.008
260.704,13904.089
261.534,14254.713
262.364,15654.064
263.194,15107.239
264.025,14987.915
264.855,14927.766
265.685,15957.017
266.515,15024.102
267.346,15725.405
268.176,16306.400
269.006,15675.315
269.837,15952.766
270.667,15196.955
271.497,15511.097
272.327,15221.936
273.158,15410.810
273.988,14715.806
274.818,15506.045
275.648,15695.566
276.479,15532.279
277.309,15669.093
278.139,15115.425
278.969,15639.647
279.800,15440.879
280.630,15025.656
281.460,14686.789
282.290,14669.134
283.121,15312.434
283.951,14676.846
284.781,14666.481
285.612,14432.154
286.442,15211.972
287.272,14489.081
288.102,14742.822
288.933,14788.709
289.763,15213.628
290.593,15450.494
291.423,15456.794
292.254,15143.053
293.084,15617.534
293.914,15528.676
294.745,15506.749
295.575,15584.604
296.405,16059.891
297.235,15888.178
298.066,15869.932
298.896,16122.709
299.726,15186.664
300.556,14806.453
301.387,15263.709
302.217,15372.729
303.047,15348.478
303.877,15773.737
304.708,15991.773
305.538,15348.729
306.368,15986.162
307.198,14718.688
308.029,14760.887
308.859,15279.506
309.689,15577.064
310.520,16578.701
311.350,16276.692
312.180,15776.393
313.010,16686.004
313.841,15881.579
314.671,16556.158
315.501,16445.016
316.331,16565.332
317.162,16700.453
317.992,16686.740
318.822,17152.475
319.652,15935.356
320.483,16258.381
321.313,16727.971
322.143,16277.344
322.974,16331.656
323.804,16366.717
324.634,16087.372
325.464,15953.911
326.295,16751.740
327.125,16610.773
327.955,15923.077
328.785,16739.932
329.616,17531.182
330.446,17865.510
331.276,17620.814
332.106,17333.582
332.937,16832.012
333.767,17533.359
334.597,17470.781
335.428,18049.705
336.258,17260.287
337.088,17572.600
337.918,18125.652
338.749,17565.754
339.579,16602.863
340.409,18355.086
341.239,17271.283
342.070,17512.562
342.900,17564.279
343.730,17118.008
344.560,17540.041
345.391,17215.133
346.221,16908.887
347.051,17294.271
347.882,17131.822
348.712,17203.924
349.542,16704.660
350.372,16273.972
351.203,17033.721
352.033,16691.797
352.863,16418.359
353.693,16732.049
354.524,17912.838
355.354,17076.773
356.184,18178.275
357.014,18147.891
357.845,17629.219
358.675,17486.377
359.505,16800.252
360.336,17394.539
361.166,16965.729
361.996,16681.672
362.826,15674.097
363.657,16621.061
364.487,15626.012
365.317,16245.429
366.147,14901.008
366.978,14310.806
367.808,14803.089
368.638,15078.008
369.468,14781.206
370.299,15139.308
371.129,15080.117
371.959,14638.972
372.790,15440.485
373.620,16568.777
374.450,16684.596
375.280,16448.000
376.111,16921.154
376.941,16602.592
377.771,15832.053
378.601,15948.858
379.432,17367.980
