Distance_(microns),Gray_Value
0.000,24026.797
0.830,23537.430
1.661,22936.518
2.491,24450.064
3.321,24100.004
4.151,24446.604
4.982,23920.793
5.812,23802.381
6.642,23842.814
7.472,23862.842
8.303,23092.592
9.133,23732.770
9.963,24069.166
10.793,24314.389
11.624,24660.660
12.454,24131.807
13.284,24119.137
14.115,23981.600
14.945,23238.611
15.775,23824.525
16.605,23650.963
17.436,25055.842
18.266,24761.992
19.096,24725.469
19.926,25399.287
20.757,26018.717
21.587,26440.242
22.417,25866.688
23.247,25799.807
24.078,26547.535
24.908,27060.199
25.738,27724.648
26.569,27166.479
27.399,26101.871
28.229,25353.717
29.059,25123.234
29.890,25063.623
30.720,24997.656
31.550,26064.818
32.380,26769.811
33.211,26388.029
34.041,26487.385
34.871,25441.951
35.701,25810.113
36.532,25791.396
37.362,26062.312
38.192,25952.016
39.023,25452.850
39.853,24876.445
40.683,25121.461
41.513,24644.736
42.344,24635.029
43.174,25231.645
44.004,24608.336
44.834,24662.049
45.665,24230.227
46.495,25341.146
47.325,24673.090
48.155,24373.857
48.986,24313.238
49.816,25147.223
50.646,24813.389
51.477,24142.697
52.307,24801.596
53.137,24754.348
53.967,24280.648
54.798,23528.691
55.628,24477.854
56.458,24220.412
57.288,23993.008
58.119,24126.648
58.949,24218.076
59.779,23517.215
60.609,23919.863
61.440,23594.170
62.270,23582.641
63.100,25596.680
63.930,24432.664
64.761,24780.830
65.591,24272.203
66.421,23229.377
67.252,23959.475
68.082,24296.920
68.912,23744.963
69.742,23367.928
70.573,23659.186
71.403,23338.365
72.233,21879.125
73.063,22729.867
73.894,22174.758
74.724,20679.736
75.554,21031.709
76.384,20721.510
77.215,20595.838
78.045,20399.604
78.875,19958.736
79.706,19733.570
80.536,20069.457
81.366,20927.230
82.196,22246.688
83.027,22477.303
83.857,21961.623
84.687,22801.344
85.517,22906.242
86.348,23405.393
87.178,23040.303
88.008,22332.988
88.838,23025.857
89.669,23252.422
90.499,22098.539
91.329,21818.316
92.160,22296.320
92.990,21713.551
93.820,21148.766
94.650,20942.109
95.481,20706.129
96.311,19809.041
97.141,20310.854
97.971,18832.418
98.802,18720.656
99.632,18279.260
100.462,18249.814
101.292,18000.867
102.123,18046.328
102.953,18085.299
103.783,17977.834
104.614,18702.660
105.444,18093.234
106.274,18497.547
107.104,18774.887
107.935,18415.404
108.765,17451.660
109.595,17107.422
110.425,17187.535
111.256,17065.924
112.086,16722.943
112.916,16867.029
113.746,16193.789
114.577,16508.023
115.407,15669.324
116.237,15161.947
117.068,15655.830
117.898,15282.688
118.728,14949.126
119.558,14308.623
120.389,14579.053
121.219,13748.968
122.049,13641.449
122.879,13204.097
123.710,13978.640
124.540,13480.802
125.370,13177.623
126.200,13607.494
127.031,13249.943
127.861,12294.121
128.691,12528.198
129.522,12128.000
130.352,11989.126
131.182,11666.972
132.012,11546.312
132.843,10939.919
133.673,11143.296
134.503,11122.607
135.333,10909.441
136.164,10100.692
136.994,9864.434
137.824,10202.485
138.654,10057.777
139.485,10203.817
140.315,9735.770
141.145,9827.028
141.976,9405.328
142.806,9459.874
143.636,8864.102
144.466,8261.381
145.297,8575.766
146.127,8892.219
146.957,8471.611
147.787,8414.575
148.618,8041.721
149.448,7947.316
150.278,7711.526
151.108,7941.373
151.939,7967.275
152.769,7889.198
153.599,7508.583
154.430,7793.109
155.260,7710.514
156.090,7583.405
156.920,7676.790
157.751,7502.494
158.581,7593.267
159.411,7483.016
160.241,7617.421
161.072,7727.243
161.902,7553.603
162.732,7766.680
163.562,7313.142
164.393,7857.705
165.223,7929.028
166.053,7558.369
166.883,7549.935
167.714,7329.239
168.544,7640.227
169.374,7991.061
170.205,8180.765
171.035,8044.526
171.865,8156.506
172.695,7927.380
173.526,8003.850
174.356,8328.943
175.186,7702.895
176.016,7438.498
176.847,7875.652
177.677,7673.295
178.507,8171.952
179.337,7785.421
180.168,7350.862
180.998,7599.838
181.828,7809.563
182.659,7888.077
183.489,8067.542
184.319,7624.741
185.149,7709.105
185.980,7537.972
186.810,7496.959
187.640,8128.644
188.470,8589.709
189.301,8806.166
190.131,9298.700
190.961,8906.012
191.791,9433.360
192.622,9354.968
193.452,8952.134
194.282,8729.271
195.113,8909.668
195.943,9095.951
196.773,9339.296
197.603,9133.761
198.434,10105.749
199.264,11267.543
200.094,11690.142
200.924,11300.166
201.755,11723.636
202.585,12997.656
203.415,14024.202
204.245,14668.729
205.076,14179.040
205.906,14607.842
206.736,15105.983
207.567,14396.223
208.397,13832.936
209.227,13504.870
210.057,13672.583
210.888,13782.073
211.718,13890.283
212.548,14272.389
213.378,14542.704
214.209,15005.149
215.039,15066.364
215.869,15257.964
216.699,15561.591
217.530,15567.647
218.360,15230.381
219.190,15465.202
220.021,16183.368
220.851,16731.596
221.681,16342.506
222.511,17969.348
223.342,18197.604
224.172,18137.170
225.002,18127.963
225.832,18494.521
