Distance_(microns),Gray_Value
0.000,17561.971
0.830,16776.525
1.661,17442.943
2.491,17042.453
3.321,17283.102
4.151,16629.740
4.982,17449.430
5.812,17031.309
6.642,16753.430
7.472,16378.996
8.303,17187.883
9.133,16725.781
9.963,17141.514
10.793,17301.340
11.624,17181.725
12.454,17037.863
13.284,17035.113
14.115,16941.939
14.945,17075.023
15.775,16501.879
16.605,17589.020
17.436,16878.389
18.266,17052.080
19.096,16673.850
19.926,16557.854
20.757,16661.641
21.587,17344.418
22.417,17247.709
23.247,17020.332
24.078,16502.223
24.908,16218.170
25.738,15464.324
26.569,16346.773
27.399,17015.547
28.229,16914.963
29.059,17329.037
29.890,17387.469
30.720,17559.479
31.550,17266.023
32.380,16884.680
33.211,16779.754
34.041,17457.256
34.871,16948.178
35.701,16717.344
36.532,17186.521
37.362,16965.717
38.192,16987.811
39.023,17148.457
39.853,17858.004
40.683,17885.781
41.513,17729.174
42.344,18130.770
43.174,18115.955
44.004,17782.242
44.834,18029.404
45.665,18637.246
46.495,18473.475
47.325,18319.736
48.155,18076.299
48.986,17907.182
49.816,17367.641
50.646,17337.570
51.477,17767.109
52.307,17960.242
53.137,18100.475
53.967,17951.227
54.798,18264.721
55.628,17505.359
56.458,17034.592
57.288,16928.275
58.119,17597.178
58.949,18092.352
59.779,17815.535
60.609,17300.648
61.440,17892.072
62.270,17657.676
63.100,17208.324
63.930,17830.566
64.761,17447.037
65.591,17399.072
66.421,17236.879
67.252,17372.562
68.082,17097.645
68.912,17293.906
69.742,17515.680
70.573,17632.766
71.403,16971.479
72.233,16923.037
73.063,17000.766
73.894,17177.283
74.724,17526.049
75.554,17943.588
76.384,17567.988
77.215,17792.514
78.045,17555.818
78.875,17555.340
79.706,17667.582
80.536,16624.203
81.366,16823.143
82.196,16812.959
83.027,17198.242
83.857,17751.963
84.687,17094.207
85.517,17337.199
86.348,16753.518
87.178,16537.365
88.008,17086.684
88.838,17763.189
89.669,16777.125
90.499,16798.449
91.329,17118.789
92.160,17435.721
92.990,17186.777
93.820,17222.238
94.650,17042.146
95.481,17383.166
96.311,17464.691
97.141,18163.977
97.971,17210.465
98.802,16546.465
99.632,16585.355
100.462,16963.393
101.292,17699.906
102.123,17037.143
102.953,17017.033
103.783,17033.857
104.614,17650.053
105.444,18303.883
106.274,17647.490
107.104,17318.717
107.935,17103.113
108.765,17434.275
109.595,17810.426
110.425,17857.080
111.256,17951.521
112.086,17456.008
112.916,17576.137
113.746,18262.826
114.577,17744.898
115.407,17946.676
116.237,17682.461
117.068,17072.510
117.898,17409.242
118.728,17145.377
119.558,17404.984
120.389,17258.033
121.219,17634.486
122.049,17358.000
122.879,17250.664
123.710,17691.906
124.540,17495.275
125.370,17443.688
126.200,17869.137
127.031,17335.980
127.861,17312.207
128.691,16846.102
129.522,17062.627
130.352,16809.758
131.182,17181.701
132.012,16802.324
132.843,16025.813
133.673,16777.641
134.503,16869.016
135.333,16839.531
136.164,17014.158
136.994,17267.992
137.824,17116.895
138.654,17036.951
139.485,17810.797
140.315,17278.676
141.145,17624.068
141.976,17772.242
142.806,17716.291
143.636,18422.012
144.466,19102.766
145.297,18583.234
146.127,19390.238
146.957,19530.967
147.787,20265.385
148.618,18765.660
149.448,18803.418
150.278,19394.199
151.108,19451.359
151.939,18298.012
152.769,18888.635
153.599,19403.312
154.430,19420.943
155.260,19201.143
156.090,19037.102
156.920,18405.369
157.751,18146.648
158.581,18422.193
159.411,18038.842
160.241,17586.090
161.072,17837.344
161.902,18129.309
162.732,17820.748
