Distance_(microns),Gray_Value
0.000,27768.238
0.830,28260.947
1.661,28418.029
2.491,29575.656
3.321,28811.838
4.151,28652.506
4.982,28097.291
5.812,28173.818
6.642,26406.166
7.472,28765.207
8.303,27932.072
9.133,27992.793
9.963,28883.967
10.793,27652.928
11.624,28591.461
12.454,28008.951
13.284,28523.838
14.115,28112.607
14.945,27757.312
15.775,27361.186
16.605,27054.465
17.436,27543.348
18.266,26459.215
19.096,26352.158
19.926,26699.635
20.757,25969.469
21.587,25999.582
22.417,25744.570
23.247,24939.020
24.078,26606.061
24.908,25101.113
25.738,25217.871
26.569,25425.438
27.399,25738.117
28.229,25093.850
29.059,25283.811
29.890,26173.596
30.720,25733.748
31.550,27071.252
32.380,26652.438
33.211,25879.932
34.041,27040.814
34.871,28101.178
35.701,27094.486
36.532,26806.672
37.362,24807.211
38.192,24977.854
39.023,25880.189
39.853,25304.891
40.683,25684.016
41.513,25547.295
42.344,26772.518
43.174,26596.955
44.004,26526.396
44.834,27411.486
45.665,25769.020
46.495,26940.777
47.325,25815.574
48.155,26274.932
48.986,27417.781
49.816,26654.725
50.646,26962.871
51.477,26622.412
52.307,25929.373
53.137,26464.193
53.967,26369.652
54.798,27260.207
55.628,25907.098
56.458,26710.268
57.288,26368.744
58.119,26408.223
58.949,26792.826
59.779,26063.412
60.609,25608.418
61.440,25181.502
62.270,26082.766
63.100,25053.664
63.930,26320.049
64.761,26284.449
65.591,26217.352
66.421,25387.758
67.252,25949.611
68.082,26801.479
68.912,25160.490
69.742,26392.223
70.573,26533.680
71.403,25623.291
72.233,25555.785
73.063,26366.895
73.894,25250.268
74.724,25188.555
75.554,24981.992
76.384,25275.279
77.215,25939.535
78.045,24094.977
78.875,26187.793
79.706,24981.539
80.536,25775.535
81.366,25984.227
82.196,26054.061
83.027,25870.490
83.857,25149.717
84.687,26594.465
85.517,25963.773
86.348,26231.377
87.178,24998.352
88.008,25334.992
88.838,25551.230
89.669,25567.596
90.499,24834.770
91.329,25192.635
92.160,25943.740
92.990,24794.377
93.820,24850.850
94.650,26179.238
95.481,24512.574
96.311,25051.627
97.141,25784.469
97.971,25178.971
98.802,27308.129
99.632,25586.924
100.462,26864.064
101.292,26110.012
102.123,25945.365
102.953,27215.434
103.783,26462.914
104.614,27005.426
105.444,25333.242
106.274,26101.053
107.104,25736.713
107.935,25165.709
108.765,26136.113
109.595,26186.461
110.425,26202.068
111.256,25751.268
112.086,26584.656
112.916,27492.514
113.746,26527.057
114.577,27150.090
115.407,26854.219
116.237,26407.008
117.068,26778.518
117.898,26689.295
118.728,25410.219
119.558,24648.947
120.389,23531.871
121.219,24192.498
122.049,22717.688
122.879,21929.016
123.710,21661.518
124.540,21609.547
125.370,20947.570
126.200,21344.453
127.031,20145.359
127.861,20761.863
128.691,19360.826
129.522,20074.555
130.352,18572.506
131.182,18820.086
132.012,19763.867
132.843,18895.109
133.673,19333.818
134.503,17049.924
135.333,17331.510
136.164,16180.923
136.994,15680.766
137.824,15608.789
138.654,14511.692
139.485,15011.785
140.315,13590.211
141.145,14534.656
141.976,14952.324
142.806,14035.353
143.636,14427.571
144.466,12813.234
145.297,12869.154
146.127,13017.032
146.957,12488.283
147.787,11808.656
148.618,11845.611
149.448,10922.243
150.278,10628.781
151.108,10710.421
151.939,9815.166
152.769,9690.028
153.599,9907.470
154.430,9274.676
155.260,9843.519
156.090,9514.434
156.920,9702.102
157.751,9130.332
158.581,9188.753
159.411,9425.255
160.241,9411.142
161.072,9520.166
161.902,9266.158
162.732,8727.923
163.562,8524.688
164.393,9376.441
165.223,9416.996
166.053,9095.943
166.883,9047.936
167.714,9075.485
168.544,8925.466
169.374,8739.579
170.205,8666.851
171.035,8928.405
171.865,9072.368
172.695,8862.595
173.526,8764.979
174.356,9442.385
175.186,8673.457
176.016,9446.413
176.847,9499.109
