Protein.Group	Protein.Names	Genes	First.Protein.Description	/ip-proteomics/ms-convert-output/2ul_CG_1.mzML	/ip-proteomics/ms-convert-output/2ul_CG_2.mzML	/ip-proteomics/ms-convert-output/2ul_CG_3.mzML	/ip-proteomics/ms-convert-output/2ul_CG_4.mzML	/ip-proteomics/ms-convert-output/2ul_CG_5.mzML	/ip-proteomics/ms-convert-output/2ul_CG_6.mzML	/ip-proteomics/ms-convert-output/2ul_CG_7.mzML	/ip-proteomics/ms-convert-output/2ul_CG_8.mzML	/ip-proteomics/ms-convert-output/2ul_CG_9.mzML	/ip-proteomics/ms-convert-output/2ul_CG_10.mzML
A0A075B5L5;A0A0B4J1I5;A0A0B4J1I8	A0A075B5L5_MOUSE;A0A0B4J1I5_MOUSE;A0A0B4J1I8_MOUSE	Igkv4-59;Igkv4-70;Igkv4-86	Immunoglobulin kappa variable 4-86			41819	54710.7	67021	56406.7	57499.4	35094.6	36380.4	46381.5
A0A075B5M7	A0A075B5M7_MOUSE	Igkv5-39	Immunoglobulin kappa variable 5-39		597207	8740.76	7557.87			2667.75			
A0A075B5M9	A0A075B5M9_MOUSE	Igkv18-36	Immunoglobulin kappa chain variable 18-36				12621.9		12805.3		9214.91		10972.4
A0A075B5N3	A0A075B5N3_MOUSE	Igkv8-28	Immunoglobulin kappa variable 8-28			2.51739e+06	7.85794e+06	4.34032e+06		3.95149e+06	6.25737e+06	2.14961e+06	7.92263e+06
A0A075B5N5	A0A075B5N5_MOUSE	Igkv8-26	Immunoglobulin kappa variable 8-26 (Fragment)			410480	159833	672135	142992	572461	105788	318931	139291
A0A075B5N6;A0A0G2JGT0;A0A140T8M5	A0A075B5N6_MOUSE;A0A0G2JGT0_MOUSE;A0A140T8M5_MOUSE	Gm43218;Igkv6-15;Igkv8-16	Immunoglobulin kappa variable 8-16						34747.8		24248.1		36671.3
A0A075B5N7	A0A075B5N7_MOUSE	Igkv6-13	Immunoglobulin kappa variable 6-13			67170.2	204029	111152	177367	95264.9	146483	55121.8	183530
A0A075B5S0	A0A075B5S0_MOUSE	Ighv16-1	Immunoglobulin heavy variable 16-1			2448.33	6141.21	3020.01	4838.42		3570.22		5403.09
A0A075B5S5	A0A075B5S5_MOUSE	Ighv7-4	Immunoglobulin heavy variable 7-4			26483.6		43045.5		44305.7		24139.4	1585.22
A0A075B5T6;A0A0B4J1J6	A0A075B5T6_MOUSE;A0A0B4J1J6_MOUSE	Ighv10-1;Ighv10-3	Immunoglobulin heavy variable V10-3 (Fragment)				2322.26		2440.33		1923.55		2907.73
A0A075B5U1	A0A075B5U1_MOUSE	Ighv1-16	Immunoglobulin heavy variable 1-16 (Fragment)	561.608									
A0A075B5U6	A0A075B5U6_MOUSE	Ighv1-20	Immunoglobulin heavy variable V1-20	648672									
A0A075B5V7	A0A075B5V7_MOUSE	Ighv1-43	Immunoglobulin heavy variable V1-43	448563									
A0A075B5V8	A0A075B5V8_MOUSE	Ighv1-47	Immunoglobulin heavy variable 1-47				7434.12		6841.37		5353.73		7977.91
A0A075B5W7	A0A075B5W7_MOUSE	Ighv1-56	Immunoglobulin heavy variable 1-56	8498.84									
A0A075B5X6	A0A075B5X6_MOUSE	Ighv1-67	Immunoglobulin heavy variable V1-67				300716		308649	87019.2	170977		253147
A0A087WRI3	A0A087WRI3_MOUSE	Cfap77	Cilia and flagella associated protein 77	1125.1									
A0A087WRT4	A0A087WRT4_MOUSE	Fat1	FAT atypical cadherin 1	597.356									
A0A0A6YVW3;A0A0A6YXA5	A0A0A6YVW3_MOUSE;A0A0A6YXA5_MOUSE	Ighv1-15;Ighv1-23	Immunoglobulin heavy variable V1-23 (Fragment)			29631.2	32269.3	34605.9		59554.4	24952	28359.1	38172.5
A0A0A6YXQ0	A0A0A6YXQ0_MOUSE	Ighv8-8	Immunoglobulin heavy variable 8-8 (Fragment)			45846.5	134225	94905.7	131029	76959.1	97827.7	48550.3	105810
A0A0B4J1H7;A0A0B4J1H8	A0A0B4J1H7_MOUSE;A0A0B4J1H8_MOUSE	Igkv1-133;Igkv1-135	Immunoglobulin kappa variable 1-135 (Fragment)	315038	18016.6	164640	149977	299713	119748	281385	94689.9	177253	130099
A0A0B4J1M0	A0A0B4J1M0_MOUSE	Ighv1-77	Immunoglobulin heavy variable 1-77		145097								
A0A0G2JDG3	A0A0G2JDG3_MOUSE	Traj12	T cell receptor alpha joining 12 (Fragment)			54440.1	170299	98524.5	186503	77651.4	114138	57067.4	161680
A0A0G2JGM3	A0A0G2JGM3_MOUSE	Traj34	T cell receptor alpha joining 34 (Fragment)			79306.6		146605		98244.5		61349.2	
A0A0J9YTR2	A0A0J9YTR2_MOUSE	Ncbp2as2	Ncbp2 antisense 2 (head to head)	655.177		809.185	898.96					899.225	
A0A140LIV7	A0A140LIV7_MOUSE	Tex51	Testis expressed 51			3164.77							
A0A140LIW3	A0A140LIW3_MOUSE	Frmpd3	FERM and PDZ domain containing 3	17933.6	17991.7	16960	17093.1	15935.6	16912.6	16873.3	15534.1	16498.9	15050
A0A140T8M0	A0A140T8M0_MOUSE	Igkv1-117	Immunoglobulin kappa variable 1-117 (Fragment)	1.77486e+06	105406	18428.8	100423	27367.9	103221	21507.5	66501.4	9200.87	92895.1
A0A140T8M1	A0A140T8M1_MOUSE	Igkv10-96	Immunoglobulin kappa variable 10-96 (Fragment)			10167.7	54786.5	16681.1	49214.9	16197.9	35920	9604.29	62953.3
A0A140T8M2	A0A140T8M2_MOUSE	Igkv12-44	Immunoglobulin kappa variable 12-44 (Fragment)	8787.51									
A0A140T8M4	A0A140T8M4_MOUSE	Igkv8-19	Immunoglobulin kappa variable 8-19	289.54	5652.27								
A0A140T8N9	A0A140T8N9_MOUSE	Igkv6-32	Immunoglobulin kappa variable 6-32 (Fragment)			12444.3		19489.4		22535.4		12579.1	
A0A140T8P2	A0A140T8P2_MOUSE	Igkv6-20	Immunoglobulin kappa variable 6-20 (Fragment)			331222	482227	629999	474481	528195	348651	301947	459473
A0A140T8P9	A0A140T8P9_MOUSE	Igkv14-111	Immunoglobulin kappa variable 14-111 (Fragment)	34658.5									
A0A1B0GRB6	A0A1B0GRB6_MOUSE	Brd3os	Bromodomain containing 3, opposite strand	5435.2	14321.4	22261	12075.7	10860.7	10637.9	9928.82	18737.9	16322.4	16692.9
A0A1L1SSC7	A0A1L1SSC7_MOUSE	Ttc13	Tetratricopeptide repeat domain 13	760.006									
A0A1W2P872	NOVA2_MOUSE	Nova2	RNA-binding protein Nova-2	762.862									
A0A1Y7VJN6	A0A1Y7VJN6_MOUSE	Ighg3	Immunoglobulin heavy constant gamma 3 (Fragment)	6493.71	311758								
A0A2R8VHF1	A0A2R8VHF1_MOUSE	D430041D05Rik	RIKEN cDNA D430041D05 gene	46289.2	31302.1	34270.1	32282.4	30565.4	28906.9	32452.2	34670.4	35379.7	34617.9
A0A2R8VHP3	A0A2R8VHP3_MOUSE	Gm5478	Predicted pseudogene 5478		15323.3		3499.73	1936.98		12590.8			17406.1
A0A5F8MPI9	A0A5F8MPI9_MOUSE	Rapgef1	Rap guanine nucleotide exchange factor (GEF) 1	2278.29		2858.59		4411.18				1939.54	
A0A5F8MPP0	A0A5F8MPP0_MOUSE	Plekhg1	Pleckstrin homology domain containing, family G (with RhoGef domain) member 1	5569.66	12219.1	6591.93	7072.44	7510.07	7769.66	6324.46	6572.96	6262.15	6656.61
A0A5F8MQ13	A0A5F8MQ13_MOUSE	Tmem178b	Transmembrane protein 178B	1194.5				1641.82					
A0A7N9VR94	A0A7N9VR94_MOUSE	Ahnak2	AHNAK nucleoprotein 2	3434.9		4897.53	5145.77	5516.93	5622.31	3872.74	5143	5156.44	4201.2
A0A991ENW0	A0A991ENW0_MOUSE	H1f10	H1.10 linker histone	826.267	2516.19	1303.91	1559.6	2378.46					
A2A432	CUL4B_MOUSE	Cul4b	Cullin-4B	1059.82									
A2A484	A2A484_MOUSE	Zmynd8	Zinc finger, MYND-type containing 8	1123.31		1823.03		4880.75					2156.62
A2A5R2	BIG2_MOUSE	Arfgef2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	2114.57	8492.67	2641.26	2533.64		2765.33	3515.96	2432.4	3225.79	3055.12
A2A690	TANC2_MOUSE	Tanc2	Protein TANC2	22440.5	22006.6	20068	19624.7	21695.3	19254.8	18898.8	17070.3	17803.4	16634.1
A2A699	F1712_MOUSE	Fam171a2	Protein FAM171A2	4207.38	11819.7	5493.92	6854.85		6119.38	5242.52	5418.52	3645.97	5870
A2A6Q5	CDC27_MOUSE	Cdc27	Cell division cycle protein 27 homolog	1182.8									
A2A6T1	CDR2L_MOUSE	Cdr2l	Cerebellar degeneration-related protein 2-like	410.067			851.893			843.526	641.755		
A2A891	CMTA1_MOUSE	Camta1	Calmodulin-binding transcription activator 1	1024.84									
A2A8U2	TM201_MOUSE	Tmem201	Transmembrane protein 201	184.798	2177.25	1128.66	1192.12	1324.06	1296.41	1208.85	461.426	601.571	348.645
A2A8Z1	OSBL9_MOUSE	Osbpl9	Oxysterol-binding protein-related protein 9	361.386		429.156			663.098			593.912	
A2A9C3	SZT2_MOUSE	Szt2	KICSTOR complex protein SZT2	2945.5									
A2A9T0	TBKB1_MOUSE	Tbkbp1	TANK-binding kinase 1-binding protein 1	7086.9		8671.78							
A2AAE1	BLTP1_MOUSE	Bltp1	Bridge-like lipid transfer protein family member 1	3431.44		5838.04			5187.27	4764.15	5901.23	4449.46	9064.05
A2AAX3	KLH15_MOUSE	Klhl15	Kelch-like protein 15	1749	3578.71	3031	4582.76	5437.52	3085.53	2928.44	2419.35	3055.53	2648.14
A2ADA5	PUSL1_MOUSE	Pusl1	tRNA pseudouridine synthase-like 1	2266.5									
A2AF47	DOC11_MOUSE	Dock11	Dedicator of cytokinesis protein 11	5986.42	8615.48	8501.95	9833.44	10062.1	9886.11	7827.94	8264.52	6672.55	8701
A2AFR3	FRPD4_MOUSE	Frmpd4	FERM and PDZ domain-containing protein 4	5310.32		6349.48						6782.01	
A2AG50	MA7D2_MOUSE	Map7d2	MAP7 domain-containing protein 2	6839.54		7506.79	9517.81	6843.23	7860.48	13649.2	6461.69	6299.9	5626.03
A2AGL3	RYR3_MOUSE	Ryr3	Ryanodine receptor 3	1815.51		2465.29	3875.37	3523.07	2427.5	4094.43	2836.29	2538.8	2721.1
A2AGT5	CKAP5_MOUSE	Ckap5	Cytoskeleton-associated protein 5	9937.47	11984.2	10140.6	11378.5	12183.8	11862.1	10765.2	9017.08	9091.32	10264.5
A2AHC3	CAMP1_MOUSE	Camsap1	Calmodulin-regulated spectrin-associated protein 1	6378.19	9770.21	6175.82	6761.41	5244.18	6181.95	6529.44	6087.39	5453.89	5545.11
A2AHG0	LZTS3_MOUSE	Lzts3	Leucine zipper putative tumor suppressor 3	60544.8	46376.9	63899.6	64741.8	63292.8	60369.4	65636.4	65736.5	71469.4	66637.4
A2AHL1;Q8C5H1	ANO3_MOUSE;ANO4_MOUSE	Ano3;Ano4	Anoctamin-3	530.843		970.086							
A2AI08	TPRN_MOUSE	Tprn	Taperin	1907.51		3059.41		1918.96	2750.11		2487.16	2300.49	2125.92
A2AJ72	A2AJ72_MOUSE	Fubp3	Far upstream element (FUSE) binding protein 3	4432.58									
A2AJ88	PLPL7_MOUSE	Pnpla7	Patatin-like phospholipase domain-containing protein 7	254.837									
A2AJA9	AJM1_MOUSE	Ajm1	Apical junction component 1 homolog	67696.5	48078.3	68642.7	64100.5	55090.7	60339.2	62075	66084.5	70274.4	67641.7
A2AJI0	MA7D1_MOUSE	Map7d1	MAP7 domain-containing protein 1	13477.3	10108.7	12690.2	13437	15415	14940	12991.7	12861.7	13856.1	13291.4
A2AJW5	A2AJW5_MOUSE	Fam217b	Family with sequence similarity 217, member B	1793.55		2042.95	2056.22	2379.2	2771.08	2403.79	2094.46	2304.38	2374.74
A2ALI5	AJAP1_MOUSE	Ajap1	Adherens junction-associated protein 1	1493.02		2757.8					2092.54	1503.13	
A2ALK8	PTN3_MOUSE	Ptpn3	Tyrosine-protein phosphatase non-receptor type 3	583.368		572.868		1735.71			636.495	761.546	889.931
A2ALS5	RPGP1_MOUSE	Rap1gap	Rap1 GTPase-activating protein 1	1093.7	3538.72	2375.02				3188.77	2666.28	1047.72	
A2ALU4	SHRM2_MOUSE	Shroom2	Protein Shroom2	2059.4		3568.87		12544.7	2515.74		2135.95	2434.92	2106.97
A2AN08	UBR4_MOUSE	Ubr4	E3 ubiquitin-protein ligase UBR4	4913.5	5497.7	5577.41	6062.14	6331.91	5840.38	5405.5	5191.48	5119.51	4440.05
A2AP18	PLCH2_MOUSE	Plch2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-2	903.685						954.251	1083.96		
A2APV2	FMNL2_MOUSE	Fmnl2	Formin-like protein 2	28032.7	31881.2	26015.7	26439.2	29940.1	29800.1	24563.4	25899.6	26485.6	27579.7
A2AQ25	SKT_MOUSE	Skt	Sickle tail protein	61541.4	44671.7	52688.8	51131.9	51524.7	46344	52235.2	49863.4	55023.4	53317.3
A2AR02	PPIG_MOUSE	Ppig	Peptidyl-prolyl cis-trans isomerase G	2308.27						2915.92		1482.47	
A2AR50	RGPS1_MOUSE	Ralgps1	Ras-specific guanine nucleotide-releasing factor RalGPS1	2294.2		2557.5		2544.44	1889.65	2480.58	2030.95	2156.94	2051.34
A2ARS0	ANR63_MOUSE	Ankrd63	Ankyrin repeat domain-containing protein 63	3908.63		4185.51	3164.02	3957.03	5025.28	4156.83	3588.51	3931.58	4100.25
A2ASQ1	AGRIN_MOUSE	Agrn	Agrin	4579.34	12019	5589.33	6783.2	7196.66	6323.54	5686.96	5153.66	5360.45	5807.57
A2ASZ8	SCMC2_MOUSE	Slc25a25	Mitochondrial adenyl nucleotide antiporter SLC25A25	1530.18						3316.89			
A2AT37	RENT2_MOUSE	Upf2	Regulator of nonsense transcripts 2	2523.13		1500.38	2646.81	2040.51		2465.31	2116.14	2076.47	1958.93
A2ATK9	A2ATK9_MOUSE	Fam171a1	Family with sequence similarity 171, member A1	1791.45									
A2AV25	FBCD1_MOUSE	Fibcd1	Fibrinogen C domain-containing protein 1	3879.81	8585.66	3599.22	4475.85	4460.94	4212.58	4436.01	3412.26	4414.36	5636.33
A2AWA9	RBGP1_MOUSE	Rabgap1	Rab GTPase-activating protein 1	786.901									
A2CG49	KALRN_MOUSE	Kalrn	Kalirin	54874.4	45946.4	57209.2	56102.5	52832.7	57194.3	54382.7	56323.1	55956.8	52014.5
A2RS43	A2RS43_MOUSE	Pcdh7	Protocadherin 7	2598.38									
A2RT62	FXL16_MOUSE	Fbxl16	F-box/LRR-repeat protein 16	6764.74		10299.2	14107.8			16496.9	7419.39	7949	15218.7
A2RTT5;Q8R2A7	A2RTT5_MOUSE;Q8R2A7_MOUSE	Vmn1r228;Vmn1r232	Vomeronasal type-1 receptor			30807.5	116690	53837.3	104858	50690.3	77403.1	26088	91166.8
A4Q9F0	TTLL7_MOUSE	Ttll7	Tubulin polyglutamylase TTLL7	1358.52								2516.8	
A6H5Z3	EXC6B_MOUSE	Exoc6b	Exocyst complex component 6B	13637.6	24620.2	16314.9	22540.8	20566.2	22327.7	18695.9	15849.6	16118.7	17241.6
A6H650	A6H650_MOUSE	Rasgef1a	RasGEF domain family, member 1A	5401.85		7528.21	6459.45	7111.35	5179.34	5303.02	5961.01	6107.02	5480.16
A6H6J9	A6H6J9_MOUSE	Ankrd50	Ankyrin repeat domain 50	364.734									
A6H8H5	KCNB2_MOUSE	Kcnb2	Potassium voltage-gated channel subfamily B member 2	1423.63							2961.23	2056.41	
A8DUK4	A8DUK4_MOUSE	Hbb-bs	Beta-globin	10279.8	19965.6	16993.8	189679	25086.1	179520	22049.9	103526	19702.4	133896
B0F2B4	NLGN4_MOUSE	Nlgn4l	Neuroligin 4-like	169.497		150.212				342.096	349		
